rule,text,cited_laws
23.(x),"(x) the umpire calls Over or Time.
",
23.(b),"(b) The ball shall be considered to be dead when it is clear to the
umpire at the bowler’s end that the fielding side and both
batsmen at the wicket have ceased to regard it as in play.

",
23.2. ,"2. Ball finally settled
Whether the ball is finally settled or not is a matter for the umpire
alone to decide.
52
",
23.3. ,"3. Umpire calling and signalling Dead ball
",
23.(a),"(a) When the ball has become dead under 1 above, the bowler's
end umpire may call Dead ball, if it is necessary to inform the
players.
",
23.(b),"(b) Either umpire shall call and signal Dead ball when
",
23.(i),"(i) he intervenes in a case of unfair play.
",
23.(ii),"(ii) a serious injury to a player or umpire occurs.
",
23.(iii),"(iii) he leaves his normal position for consultation.
",
23.(iv),"(iv) one or both bails fall from the striker's wicket before he
has the opportunity of playing the ball.
",
23.(v),"(v) he is satisfied that for an adequate reason the striker is not
ready for the delivery of the ball and, if the ball is
delivered, makes no attempt to play it.
",
23.(vi),"(vi) the striker is distracted by any noise or movement or in
any other way while he is preparing to receive or
receiving a delivery. This shall apply whether the source
of the distraction is within the game or outside it. Note,
however, the provisions of Law 42.4 (Deliberate attempt
to distract the striker).
The ball shall not count as one of the over.
",42.4
23.(vii),"(vii) the bowler drops the ball accidentally before delivery.
",
23.(viii),"(viii) the ball does not leave the bowler's hand for any reason
other than an attempt to run out the non-striker before
entering his delivery stride. See Law 42.15 (Bowler
attempting to run out non-striker before delivery).
",42.15
23.(ix),"(ix) he is required to do so under any of the Laws.

",
23.4. ,"4. Ball ceases to be dead
The ball ceases to be dead - that is, it comes into play - when the
bowler starts his run up or, if he has no run up, his bowling action.

",
23.5. ,"5. Action on call of Dead ball
",
23.(a),"(a) A ball is not to count as one of the over if it becomes dead or
is to be considered dead before the striker has had an
opportunity to play it.
53
",
23.(b),"(b) If the ball becomes dead or is to be considered dead after
the striker has had an opportunity to play the ball, except in
the circumstances of 3(vi) above and Law 42.4 (Deliberate
attempt to distract striker), no additional delivery shall be
allowed unless No ball or Wide has been called.

","3, 42.4"
24,"LAW 24 NO BALL
",24
24.1. ,"1. Mode of delivery
",
24.(a),"(a) The umpire shall ascertain whether the bowler intends to bowl
right handed or left handed, over or round the wicket, and
57
shall so inform the striker.
It is unfair if the bowler fails to notify the umpire of a change
in his mode of delivery. In this case the umpire shall call and
signal No ball.
",
24.(b),"(b) Underarm bowling shall not be permitted except by special
agreement before the match.

",
24.2. ,"2. Fair delivery - the arm
For a delivery to be fair in respect of the arm the ball must not be
thrown. See 3 below.
Although it is the primary responsibility of the striker’s end umpire
to ensure the fairness of a delivery in this respect, there is nothing
in this Law to debar the bowler’s end umpire from calling and
signalling No ball if he considers that the ball has been thrown.
",
24.(a),"(a) If, in the opinion of either umpire, the ball has been thrown,
he shall
",
24.(i),"(i) call and signal No ball.
",
24.(ii),"(ii) caution the bowler, when the ball is dead. This caution
shall apply throughout the innings.
",
24.(iii),"(iii) inform the other umpire, the batsmen at the wicket, the
captain of the fielding side and, as soon as practicable,
the captain of the batting side of what has occurred.
",
24.(b),"(b) If either umpire considers that after such caution a further
delivery by the same bowler in that innings is thrown, the
umpire concerned shall repeat the procedure set out in (a)
above, indicating to the bowler that this is a final warning.
This warning shall also apply throughout the innings.
",
24.(c),"(c) If either umpire considers that a further delivery by the same
bowler in that innings is thrown,
",
24.(i),"(i) the umpire concerned shall call and signal No ball.
When the ball is dead he shall inform the other umpire,
the batsmen at the wicket and, as soon as practicable,
the captain of the batting side of what has occurred.
",
24.(ii),"(ii) the umpire at the bowler’s end shall direct the captain
of the fielding side to take the bowler off forthwith. The
over shall be completed by another bowler, who shall
neither have bowled the previous over nor be allowed to
bowl the next over.
The bowler thus taken off shall not bowl again in
that innings.
",
24.(iii),"(iii) the umpires together shall report the occurrence as soon
as possible to the Executive of the fielding side and any
Governing Body responsible for the match, who shall
take such action as is considered appropriate against
the captain and bowler concerned.

",
24.3. ,"3. Definition of fair delivery - the arm
A ball is fairly delivered in respect of the arm if, once the bowler’s
arm has reached the level of the shoulder in the delivery swing,
the elbow joint is not straightened partially or completely from
that point until the ball has left the hand. This definition shall
not debar a bowler from flexing or rotating the wrist in the
delivery swing.

",
24.4. ,"4. Bowler throwing towards striker’s end before delivery
If the bowler throws the ball towards the striker’s end before
entering his delivery stride, either umpire shall call and signal
No ball. See Law 42.16 (Batsmen stealing a run). However, the
procedure stated in 2 above of caution, informing, final warning,
action against the bowler and reporting shall not apply.

",42.16
24.5. ,"5. Fair delivery - the feet
For a delivery to be fair in respect of the feet, in the delivery
stride
",
24.(i),"(i) the bowler's back foot must land within and not touching the
return crease
",
24.(ii),"(ii) the bowler's front foot must land with some part of the foot,
whether grounded or raised, behind the popping crease.
If the umpire at the bowler's end is not satisfied that both these
conditions have been met, he shall call and signal No ball.

",
24.6. ,"6. Ball bouncing more than twice or rolling along the ground
The umpire at the bowler's end shall call and signal No ball if a
ball which he considers to have been delivered, without having
previously touched the bat or person of the striker,
",
24.(i),"(i) bounces more than twice
",
24.(ii),"(ii) rolls along the ground
before it reaches the popping crease.

",
24.7. ,"7. Ball coming to rest in front of striker's wicket
If a ball delivered by the bowler comes to rest in front of the line
of the striker's wicket, without having touched the bat or person of
the striker, the umpire shall call and signal No ball and
immediately call and signal Dead ball.

",
24.8. ,"8. Call of No ball for infringement of other Laws
In addition to the instances above, an umpire shall call and signal
No ball as required by the following Laws.
Law 40.3 - Position of wicket-keeper
Law 41.5 - Limitation of on side fielders
Law 41.6 - Fielders not to encroach on the pitch
Law 42.6 - Dangerous and unfair bowling
Law 42.7 - Dangerous and unfair bowling - action by the
umpire
Law 42.8 - Deliberate bowling of high full pitched balls.
56
","40.3, 41.5, 41.6, 42.6, 42.7, 42.8"
24.9. ,"9. Revoking a call of No ball
An umpire shall revoke the call of No ball if the ball does not
leave the bowler's hand for any reason.

",
24.10. ,"10. No ball to over-ride Wide
A call of No ball shall over-ride the call of Wide ball at any time.
See Law 25.1 (Judging a Wide) and 25.3 (Call and signal of
Wide ball).

","25.1, 25.3"
24.11. ,"11. Ball not dead
The ball does not become dead on the call of No ball.

",
24.12. ,"12. Penalty for a No ball
A penalty of one run shall be awarded instantly on the call of No
ball. Unless the call is revoked, this penalty shall stand even if a
batsman is dismissed. It shall be in addition to any other runs
scored, any boundary allowance and any other penalties
awarded.

",
24.13. ,"13. Runs resulting from a No ball - how scored
The one run penalty for a No ball shall be scored as a No ball
extra. If other penalty runs have been awarded to either side,
these shall be scored as in Law 42.17 (Penalty runs). Any runs
completed by the batsmen or a boundary allowance shall be
credited to the striker if the ball has been struck by the bat;
otherwise they also shall be scored as No ball extras.
Apart from any award of a 5 run penalty, all runs resulting from
a No ball, whether as No ball extras or credited to the striker,
shall be debited against the bowler.

",42.17
24.14. ,"14. No ball not to count
A No ball shall not count as one of the over. See Law 22.4 (Balls
not to count in the over).

",22.4
24.15. ,"15. Out from a No ball
When No ball has been called, neither batsman shall be out
under any of the Laws except 33 (Handled the ball), 34 (Hit the
ball twice), 37 (Obstructing the field) or 38 (Run out).
57
","33, 34, 37, 38"
25,"LAW 25 WIDE BALL
",25
25.1. ,"1. Judging a Wide
",
25.(a),"(a) If the bowler bowls a ball, not being a No ball, the umpire
shall adjudge it a Wide if, according to the definition in (b)
below, in his opinion the ball passes wide of the striker where
he is standing and would also have passed wide of him
standing in a normal guard position.
",
25.(b),"(b) The ball will be considered as passing wide of the striker
unless it is sufficiently within his reach for him to be able to hit
it with his bat by means of a normal cricket stroke.
",
"25.2.
","2.
Delivery not a Wide

The umpire shall not adjudge a delivery as being a Wide
",
25.(a),"(a) if the striker, by moving,
",
25.(i),"(i) causes the ball to pass wide of him, as defined in
1 (b) above
",
25.(ii),"(ii) brings the ball sufficiently within his reach to be able
to hit it with his bat by means of a normal cricket
stroke.
",
25.(b),"(b) if the ball touches the striker's bat or person.

",
25.3. ,"3. Call and signal of Wide ball
",
25.(a),"(a) If the umpire adjudges a delivery to be a Wide he shall call
signal Wide ball as soon as the ball passes the striker's
wicket. It shall, however, be considered to have been a Wide
from the instant of delivery, even though it cannot be called
Wide until it passes the striker's wicket.
",
25.(b),"(b) The umpire shall revoke the call of Wide ball if there is then
any contact between the ball and the striker's bat or person
",
25.(c),"(c) The umpire shall revoke the call of Wide ball if a delivery is
called a No ball. See Law 24.10 (No ball to over-ride Wide).

",24.10
25.4. ,"4. Ball not dead
The ball does not become dead on the call of Wide ball.
58
",
25.5. ,"5. Penalty for a Wide
A penalty of one run shall be awarded instantly on the call of
Wide ball. Unless the call is revoked (see 3 above), this penalty
shall stand even if a batsman is dismissed, and shall be in
addition to any other runs scored, any boundary allowance and
any other penalties awarded.

",
25.6. ,"6. Runs resulting from a Wide - how scored
All runs completed by the batsmen or a boundary allowance,
together with the penalty for the Wide, shall be scored as Wide
balls. Apart from any award of a 5 run penalty, all runs resulting
from a Wide shall be debited against the bowler.

",
25.7. ,"7. Wide not to count
A Wide shall not count as one of the over. See Law 22.4 (Balls
not to count in the over).

",22.4
25.8. ,"8. Out from a Wide
When Wide ball has been called, neither batsman shall be out
under any of the Laws except 33 (Handled the ball), 35 (Hit
wicket), 37 (Obstructing the field), 38 (Run out) or 39 (Stumped).
","33, 35, 37, 38, 39"
26,"LAW 26 BYE AND LEG BYE

",26
26.1. ,"1. Byes
If the ball, not being a No ball or a Wide, passes the striker
without touching his bat or person, any runs completed by the
batsmen or a boundary allowance shall be credited as Byes to the
batting side.

",
26.2. ,"2. Leg byes
",
26.(a),"(a) If the ball, not having previously touched the striker’s bat,
strikes his person and the umpire is satisfied that the striker has
",
26.(i),"(i) attempted to play the ball with his bat,
",
26.(ii),"(ii) tried to avoid being hit by the ball,
then any runs completed by the batsmen or a boundary
allowance shall be credited to the batting side as Leg byes,
unless No ball has been called.
59

",
26.(b),"(b) If No ball has been called, the runs in (a) above, together with
the penalty for the No ball, shall be scored as No ball extras.

",
26.3. ,"3. Leg byes not to be awarded
If in the circumstances of 2(a) above the umpire considers that
neither of the conditions (i) and (ii) therein has been met, then Leg
byes will not be awarded. The batting side shall not be credited
with any runs from that delivery apart from the one run penalty for
a No ball if applicable. Moreover, no other penalties shall be
awarded to the batting side when the ball is dead. See Law
42.17 (Penalty runs). The following procedure shall be adopted.
",42.17
26.(a),"(a) If no run is attempted but the ball reaches the boundary, the
umpire shall call and signal Dead ball, and disallow the
boundary.
",
26.(b),"(b) If runs are attempted and if
",
26.(i),"(i) neither batsman is dismissed and the ball does not
become dead for any other reason, the umpire shall call
signal Dead ball as soon as one run is completed or
the ball reaches the boundary. The batsmen shall return to
their original ends. The run or boundary shall be
disallowed.
",
26.(ii),"(ii) before one run is completed or the ball reaches the
boundary, a batsman is dismissed, or the ball becomes
dead for any other reason, all the provisions of the Laws
will apply, except that no runs and no penalties shall be
credited to the batting side, other than the penalty for a
No ball if applicable.
",
27,"LAW 27 APPEALS

",27
27.1. ,"1. Umpire not to give batsman out without an appeal
Neither umpire shall give a batsman out, even though he may be
out under the Laws, unless appealed to by the fielding side. This
shall not debar a batsman who is out under any of the Laws from
leaving his wicket without an appeal having been made. Note,
however, the provisions of 7 below.
60
",
27.2. ,"2. Batsman dismissed
A batsman is dismissed if
",
27.(a),"(a) he is given out by an umpire, on appeal
",
27.(b),"(b) he is out under any of the Laws and leaves his wicket as
in 1 above.

",1
27.3. ,"3. Timing of appeals
For an appeal to be valid it must be made before the bowler
begins his run up or, if he has no run up, his bowling action to
deliver the next ball, and before Time has been called.
The call of Over does not invalidate an appeal made prior to the
start of the following over provided Time has not been called. See
Laws 16.2 (Call of Time) and 22.2 (Start of an over).

","16.2, 22.2"
27.4. ,"4. Appeal ""How's That?""
An appeal ""How's That?"" covers all ways of being out.

",
27.5. ,"5. Answering appeals
The umpire at the bowler's end shall answer all appeals except
those arising out of any of Laws 35 (Hit wicket), 39 (Stumped) or
38 (Run out) when this occurs at the striker's wicket. A decision
Not out by one umpire shall not prevent the other umpire from
giving a decision, provided that each is considering only matters
within his jurisdiction.
When a batsman has been given Not out, either umpire may,
within his jurisdiction, answer a further appeal provided that it is
made in accordance with 3 above.

","35, 38, 39"
27.6. ,"6. Consultation by umpires
Each umpire shall answer appeals on matters within his own
jurisdiction. If an umpire is doubtful about any point that the other
umpire may have been in a better position to see, he shall consult
the latter on this point of fact and shall then give his decision. If,
after consultation, there is still doubt remaining the decision shall
be Not out.
61
",
27.7. ,"7. Batsman leaving his wicket under a misapprehension
An umpire shall intervene if satisfied that a batsman, not having
been given out, has left his wicket under a misapprehension that
he is out. The umpire intervening shall call and signal Dead ball
to prevent any further action by the fielding side and shall recall
the batsman.

",
27.8. ,"8. Withdrawal of an appeal
The captain of the fielding side may withdraw an appeal only
with the consent of the umpire within whose jurisdiction the
appeal falls and before the outgoing batsman has left the field of
play. If such consent is given the umpire concerned shall, if
applicable, revoke his decision and recall the batsman.

",
27.9. ,"9. Umpire's decision
An umpire may alter his decision provided that such alteration is
made promptly. This apart, an umpire's decision, once made, is
final.
",
28,"LAW 28 THE WICKET IS DOWN

",28
28.1. ,"1. Wicket put down
",
28.(a),"(a) The wicket is put down if a bail is completely removed from
the top of the stumps, or a stump is struck out of the ground
by
",
28.(i),"(i) the ball.
",
28.(ii),"(ii) the striker's bat, whether he is holding it or has let go of
it.
",
28.(iii),"(iii) the striker's person or by any part of his clothing or
equipment becoming detached from his person
",
28.(iv),"(iv) a fielder, with his hand or arm, providing that the ball is
held in the hand or hands so used, or in the hand of the
arm so used.
The wicket is also put down if a fielder pulls a stump out
of the ground in the same manner.
62
",
28.(b),"(b) The disturbance of a bail, whether temporary or not, shall not
constitute its complete removal from the top of the stumps, but if a
bail in falling lodges between two of the stumps this shall be
regarded as complete removal.

",
28.2. ,"2. One bail off
If one bail is off, it shall be sufficient for the purpose of putting
the
wicket down to remove the remaining bail, or to strike or pull any
of the three stumps out of the ground, in any of the ways stated in
1 above.

",
28.3. ,"3. Remaking the wicket
If the wicket is broken or put down while the ball is in play, the
umpire shall not remake the wicket until the ball is dead. See Law
23 (Dead ball). Any fielder, however, may
",23
28.(i),"(i) replace a bail or bails on top of the stumps.
",
28.(ii),"(ii) put back one or more stumps into the ground where the wicket
originally stood.

•4. Dispensing with bails
If the umpires have agreed to dispense with bails, in accordance
with Law 8.5 (Dispensing with bails), the decision as to whether
the wicket has been put down is one for the umpire concerned to
decide.
|(a) After a decision to play without bails, the wicket has been put
down if the umpire concerned is satisfied that the wicket has been
struck by the ball, by the striker's bat, person, or items of his
clothing or equipment separated from his person as described in
1 (a) (ii) or 1 (a)(iii) above, or by a fielder with the hand holding
the
ball or with the arm of the hand holding the ball
((b) If the wicket has already been broken or pul down, (a) above
shall apply to any stump or stumps still in the ground. Any fielder
may replace a stump or stumps, in accordance with 3 above, in
order to have an opportunity of putting the wicket down.
63
",8.5
29,"LAW 29 BATSMAN OUT OF HIS GROUND

",29
29.1. ,"1. When out of his ground
A batsman shall be considered to be out of his ground unless his
bat or some part of his person is grounded behind the popping
crease at that end.

",
29.2. ,"2. Which is a batsman's ground
",
29.(a),"(a) If only one batsman is within a ground
",
29.(i),"(i) it is his ground.
",
29.(ii),"(ii) it remains his ground even if he is later joined there by the
other batsman.
",
29.(b),"(b) If both batsmen are in the same ground and one of them
subsequently leaves it, (a)(i) above applies
",
29.(c),"(c) If there is no batsman in either ground, then each ground
belongs to whichever of the batsmen is nearer to it, or, if the
batsmen are level, to whichever was nearer to it immediately
prior to their drawing level.
",
29.(d),"(d) If a ground belongs to one batsman then, unless there is a
striker with a runner, the other ground belongs to the other
batsman irrespective of his position
",
29.(e),"(e) When a batsman with a runner is striker, his ground is always
that at the wicket-keeper's end. However, (a), (b), (c) and (d)
above will still apply, out only to the runner and the non-striker,
so that that ground will also belong to either the non-striker or
the runner, as the case may be.

",
29.3. ,"3. Position of non-striker
The non-striker, when standing at the bowler's end, should be
positioned on the opposite side of the wicket to that from which
the ball is being delivered, unless a request to do otherwise is
granted by the umpire.
",
30,"LAW 30 BOWLED

",30
30.1. ,"1. Out Bowled
",
30.(a),"(a) The striker is out Bowled if his wicket is put down by a ball
64
delivered by the bowler, not being a No ball, even if it first
touches his bat or person
",
30.(b),"(b) Notwithstanding (a) above he shall not be out Bowled if
before striking the wicket the ball has been in contact with any
other player or with an umpire. He will, however, be subject
to Laws 33 (Handled the ball), 37 (Obstructing the field), 38
(Run out) and 39 (Stumped)

","33, 37, 38, 39"
30.2. ,"2. Bowled to take precedence
The striker is out Bowled if his wicket is put down as in 1 above,
even though a decision against him for any other method of
dismissal would be justified.
",
31,"LAW 31 TIMED OUT

",31
31.1. ,"1. Out Timed out
",
31.(a),"(a) Unless Time has been called, the incoming batsman must be
in position to take guard or for his partner to be ready to
receive the next ball within 3 minutes of the fall of the previous
wicket. If this requirement is not met, the incoming batsman
will be out, Timed out.
",
31.(b),"(b) In the event of protracted delay in which no batsman comes
to the wicket, the umpires shall adopt the procedure of Law
21.3 (Umpires awarding a match). For the purposes of that
Law the start of the action shall be taken as the expiry of the
3 minutes referred to above.

",21.3
31.2. ,"2. Bowler does not get credit
The bowler does not get credit for the wicket.
",
32,"LAW 32 CAUGHT

",32
32.1. ,"1. Out Caught
The striker is out Caught if a ball delivered by the bowler, not
being a No ball, touches his bat without having previously been
in contact with any member of the fielding side and is
65
subsequently held by a fielder as a fair catch before it touches the
ground.

",
32.2. ,"2. Caught to take precedence
If the criteria of 1 above are met and the striker is not out Bowled,
then he is out Caught, even though a decision against either
batsman for another method of dismissal would be justified. Runs
completed by the batsmen before the completion of the catch will
not be scored. Note also Laws 21.6 (Winning hit or extras) and
42.17(b) (Penalty runs).

","21.6, 42.17"
32.3. ,"3. A fair catch
A catch shall be considered to have been fairly made if
",
32.(a),"(a) throughout the act of making the catch
",
32.(i),"(i) any fielder in contact with the ball is within the field of
play. See 4 below.
",
32.(ii),"(ii) the ball is at no time in contact with any object grounded
beyond the boundary.
The act of making the catch shall start from the time when a
fielder first handles the ball and shall end when a fielder
obtains complete control both over the ball and over his own
movement.
",
32.(b),"(b) the ball is hugged to the body of the catcher or accidentally
lodges in his clothing or, in the case of the wicket-keeper, in
his pads. However, it is not a fair catch if the ball lodges in a
protective helmet worn by a fielder. See Law 23 (Dead ball)
",23
32.(c),"(c) the ball does not touch the ground, even though the hand
holding it does so in effecting the catch.
",
32.(d),"(d) a fielder catches the ball after it has been lawfully struck more
than once by the striker, but only if the ball has not touched
the ground since first being struck.
",
32.(e),"(e) a fielder catches the ball after it has touched an umpire,
another fielder or the other batsman. However, it is not a fair
66
catch if the ball has touched a protective helmet worn by a
fielder, although the ball remains in play.
",
32.(f),"(f) a fielder catches the ball in the air after it has crossed the
boundary provided that
",
32.(i),"(i) he has no part of his person touching, or grounded
beyond, the boundary at any time when he is in contact
with the ball.
",
32.(ii),"(ii) the ball has not been grounded beyond the boundary.
See Law 19.3 (Scoring a boundary).
",19.3
32.(g),"(g) the ball is caught off an obstruction within the boundary,
provided it has not previously been decided to regard the
obstruction as a boundary.

",
32.4. ,"4. Fielder within the field of play
",
32.(a),"(a) A fielder is not within the field of play if he touches the
boundary or has any part of his person grounded beyond the
boundary. See Law 19.3 (Scoring a boundary).
",19.3
32.(b),"(b) 6 runs shall be scored if a fielder
",
32.(i),"(i) has any part of his person touching, or grounded beyond,
the boundary when he catches the ball.
",
32.(ii),"(ii) catches the ball and subsequently touches the boundary or
grounds some part of his person over the boundary while
carrying the ball but before completing the catch.
See Laws 19.3 (Scoring a boundary) and 19 4 (Runs allowed for
boundaries).

","4, 19, 19.3"
32.5. ,"5. No runs to be scored
If the striker is dismissed Caught, runs from that delivery
completed by the batsmen before the completion of the catch shall
not be scored, but any penalties awarded to either side when the
ball is dead, if applicable, will stand. Law 18.12(a) (Batsman
returning to wicket he has left) shall apply from the instant of the
catch.
67
",18.12
33,"LAW 33 HANDLED THE BALL

",33
33.1. ,"1. Out Handled the ball
Either batsman is out Handled the ball if he wilfully touches the
ball while in play with a hand or hands not holding the bat unless
he does so with the consent of the opposing side.

",
33.2. ,"2. Not out Handled the ball
Notwithstanding 1 above, a batsman will not be out under this
Law if
",1
33.(i),"(i) he handles the ball in order to avoid injury.
",
33.(ii),"(ii) he uses his hand or hands to return the ball to any member of
the fielding side without the consent of that side. Note,
however, the provisions of Law 37.4 (Returning the ball to a
member of the fielding side).

",37.4
33.3. ,"3. Runs scored
If either batsman is dismissed under this Law, any runs completed
before the offence, together with any penalty extras and the
penalty for a No ball or Wide, if applicable, shall be scored
See
Laws 18.10 (Runs scored when a batsman is dismissed) and
42.17 (Penalty runs).
","18.10, 42.17"
33.4. ,"4. Bowler does not get credit
The bowler does not get credit for the wicket.
",
34,"LAW 34 HIT THE BALL TWICE
",34
34.1. ,"1. Out Hit the ball twice
",
34.(a),"(a) The striker is out Hit the ball twice if, while the ball is in
play,
it strikes any part of his person or is struck by his bat and,
before the ball has been touched by a fielder, he wilfully
strikes it again with his bat or person, other than a hand not
holding the bat, except for the sole purpose of guarding his
wicket. See 3 below and Laws 33 (Handled the ball) and 37
(Obstructing the field).
68
","3, 33, 37"
34.(b),"(b) For the purpose of this Law, 'struck' or 'strike' shall include
contact with the person of the striker.
",
34.2. ,"2. Not out Hit the ball twice
Notwithstanding 1 (a) above, the striker will not be out under this
Law if
",1
34.(i),"(i) he makes a second or subsequent stroke in order to return the
ball to any member of the fielding side. Note, however, the
provisions of Law 37.4 (Returning the ball to a member of the
fielding side)
",37.4
34.(ii),"(ii) he wilfully strikes the ball after it has touched a fielder. Note,
however, the provisions of Law 37.1 (Out Obstructing the
field).
",37.1
34.3. ,"3. Ball lawfully struck more than once
Solely in order to guard his wicket and before the ball has been
touched by a fielder, the striker may lawfully strike the ball more
than once with his bat or with any part of his person other than a
hand not holding the bat.
Notwithstanding this provision, the striker may not prevent the ball
from being caught by making more than one stroke in defence of
his wicket. See Law 37.3 (Obstructing a ball from being caught).
",37.3
34.4. ,"4. Runs permitted from ball lawfully struck more than once
When the ball is lawfully struck more than once, as permitted in
3 above, only the first strike is to be considered in determining
whether runs are to be allowed and how they are to be scored.
",
34.(a),"(a) If on the first strike the umpire is satisfied that
",
34.(i),"(i) the ball first struck the bat
",
34.(ii),"(ii) the striker attempted to play the ball with his bat
",
34.(iii),"(iii) the striker tried to avoid being hit by the ball
then any penalties to the batting side that are applicable shall
be allowed.
",
34.(b),"(b) If the conditions in (a) above are met then, if they result from
overthrows, and only if they result from overthrows, runs
69
completed by the batsmen or a boundary will be allowed in
addition to any penalties that are applicable. They shall be
credited to the striker if the first strike was with the bat. If the
first strike was on the person of the striker they shall be scored
as Leg byes or No ball extras, as appropriate. See Law 26.2
(Leg byes).
",26.2
34.(c),"(c) If the conditions of (a) above are met and there is no
overthrow until after the batsmen have started to run, but
before one run is completed,
",
34.(i),"(i) only subsequent completed runs or a boundary shall be
allowed. The first run shall count as a completed run for
this purpose only if the batsmen have not crossed at the
instant of the throw.
",
34.(ii),"(ii) if in these circumstances the ball goes to the boundary
from the throw then, notwithstanding the provisions of Law
19.6 (Overthrow or wilful act of fielder), only the
boundary allowance shall be scored.
",19.6
34.(iii),"(iii) if the ball goes to the boundary as the result of a further
overthrow, then runs completed by the batsmen after the
first throw and before this final throw shall be added to the
boundary allowance. The run in progress at the first throw
will count only if they have not crossed at that moment; the
run in progress at the final throw shall count only if they
have crossed at that moment. Law 18.12 (Batsman
returning to wicket he has left) shall apply as from the
moment of the final throw.
",18.12
34.(d),"(d) If, in the opinion of the umpire, none of the conditions in (a)
above have been met then, whether there is an overthrow or
not, the batting side shall not be credited with any runs from
that delivery apart from the penalty for a No ball if
applicable. Moreover, no other penalties shall be awarded to
the batting side when the ball is dead. See Law 42.17
70
(Penalty runs).
",42.17
34.5. ,"5. Ball lawfully struck more than once - action by the umpire
If no runs are to be allowed, either in the circumstances of 4(d)
above, or because there has been no overthrow and
",
34.(a),"(a) if no run is attempted but the ball reaches the boundary, the
umpire shall call and signal Dead ball and disallow the
boundary.
",
34.(b),"(b) if the batsmen run and
",
34.(i),"(i) neither batsman is dismissed and the ball does not
become dead for any other reason, the umpire shall call
signal Dead ball as soon as one run is completed or
the ball reaches the boundary. The batsmen shall return to
their original ends. The run or boundary shall be
disallowed.
",
34.(ii),"(ii) a batsman is dismissed, or if for any other reason the ball
becomes dead before one run is completed or the ball
reaches the boundary, all the provisions of the Laws will
apply except that the award of penalties to the batting
side shall be as laid down in 4(a) or 4(d) above as
appropriate.
","4, 4"
34.6. ,"6. Bowler does not get credit
The bowler does not get credit for the wicket.
",
35,"LAW 35 HIT WICKET
",35
35.1. ,"1. Out Hit wicket
The striker is out Hit wicket if, while the ball is in play, his wicket
is put down either by the striker's bat or person as described in
Law 28.1 (a)(ii) and (iii) (Wicket put down)
",28.1
35.(i),"(i) in the course of any action taken by him in preparing to
receive or in receiving a delivery,
",
35.(ii),"(ii) in setting off for his first run immediately after playing,
playing at, the ball,
",
35.(iii),"(iii) if he makes no attempt to play the ball, in setting off for
71
his first run, providing that in the opinion of the umpire
this is immediately after he has had the opportunity of
playing the ball,
",
35.(iv),"(iv) in lawfully making a second or further stroke for the
purpose of guarding his wicket within the provisions of
Law 34.3 (Ball lawfully struck more than once).
",34.3
35.2. ,"2. Not out Hit wicket
Notwithstanding 1 above, the batsman is not out under this Law
should his wicket be put down in any of the ways referred to in 1
above if
","1, 1"
35.(a),"(a) it occurs after he has completed any action in receiving the
delivery, other than as in 1 (ii), (iii) or (iv) above.
",
35.(b),"(b) it occurs when he is in the act of running, other than in setting
off immediately for his first run.
",
35.(c),"(c) it occurs when he is trying to avoid being run out or stumped.
",
35.(d),"(d) it occurs while he is trying to avoid a throw-in at any time.
",
35.(e),"(e) the bowler after starting his run up, or his bowling action if he
has no run up, does not deliver the ball. In this case either
umpire shall immediately call and signal Dead ball. See Law
23.3 (Umpire calling and signalling Dead ball).
",23.3
35.(f),"(f) the delivery is a No ball.
",
36,"LAW 36 LEG BEFORE WICKET
",36
36.1. ,"1. Out LBW
The striker is out LBW in the circumstances set out below.
",
36.(a),"(a) The bowler delivers a ball, not being a No ball
",
36.(b),"(b) the ball, if it is not intercepted full pitch, pitches in line
between wicket and wicket or on the off side of the
striker's wicket
",
36.(c),"(c) the ball not having previously touched his bat, the striker
intercepts the ball, either full-pitch or after pitching, with
any part of his person
72
",
36.(d),"(d) the point of impact, even if above the level of the bails
",
36.(i),"(i) is between wicket and wicket
",
36.(ii),"(ii) is either between wicket and wicket or outside
the line of the off stump, if the striker has made
no genuine attempt to play the ball with his bat
",
36.(e),"(e) but for the interception, the ball would have hit the
wicket.
",
36.2. ,"2. Interception of the ball
",
36.(a),"(a) In assessing points (c), (d) and (e) in 1 above, only the first
interception is to be considered.
",
36.(b),"(b) In assessing point (e) in 1 above, it is to be assumed that the
path of the ball before interception would have continued
after interception, irrespective of whether the ball might have
pitched subsequently or not.
",
36.3. ,"3. Off side of wicket
The off side of the striker’s wicket shall be determined by the
striker's stance at the moment the ball comes into play for that
delivery.
",
37,"LAW 37 OBSTRUCTING THE FIELD
",37
37.1. ,"1. Out Obstructing the field
Either batsman is out Obstructing the field if he wilfully obstructs
distracts the opposing side by word or action. It shall be
regarded as obstruction if either batsman wilfully, and without the
consent of the fielding side, strikes the ball with his bat or person,
other than a hand not holding the bat, after the ball has touched
a fielder. See 4 below.
",
37.2. ,"2. Accidental obstruction
It is for either umpire to decide whether any obstruction or
distraction is wilful or not. He shall consult the other umpire if he
has any doubt.
73
",
37.3. ,"3. Obstructing a ball from being caught
The striker is out should wilful obstruction or distraction by either
batsman prevent a catch being made.
This shall apply even though the striker causes the obstruction in
lawfully guarding his wicket under the provisions of Law 34.3
(Ball lawfully struck more than once).
",34.3
