rule,text
42.5. ,"5. Changing the Condition of the Ball
Any member of the fielding side may polish the ball provided
that such polishing wastes no time and that no artificial substance
is used. No-one shall rub the ball on the ground or use any
artificial substance or take any other action to alter the condition of
the ball.
In the event of a contravention of this Law, the Umpires, after
consultation, shall change the ball for one of similar condition to
that in use prior to the contravention.
This Law does not prevent a member of the fielding side from
drying a wet ball, or removing mud from the ball. See Note (b).

"
42.6. ,"6. Incommoding the Striker
An Umpire is justified in intervening under this Law and shall
call and signal “dead ball” if, in his opinion, any Player of the
fielding side incommodes the Striker by any noise or action while
he is receiving a ball.

"
42.7. ,"7. Obstruction of a Batsman in Running
It shall be considered unfair if any Fieldsman wilfully obstructs
a Batsman in running. In these circumstances the Umpire shall
call and signal “dead ball” and allow any completed runs and the
run in progress or alternatively any boundary scored.

"
42.8. ,"8. The Bowling of Fast Short Pitched Balls
The bowling of fast short pitched balls is unfair if, in the
opinion of the Umpire at the Bowler’s end, it constitutes an
attempt to intimidate the Striker. See Note (d).

45
Umpires shall consider intimidation to be the deliberate bowling
of fast short pitched balls which by their length, height and
direction are intended or likely to inflict physical injury on the
Striker. The relative skill of the Striker shall also be taken into
consideration.
In the event of such unfair bowling, the Umpire at the Bowler’s
end shall adopt the following procedure:-

"
42.(a),"(a) In the first instance the Umpire shall call and signal “no
ball”, caution the Bowler and inform the other Umpire, the
Captain of the fielding side and the Batsmen of what has
occurred.

"
42.(b),"(b) If this caution is ineffective, he shall repeat the above
procedure and indicate to the Bowler that this is a final
warning.

"
42.(c),"(c) Both the above caution and final warning shall continue to
apply even though the Bowler may later change ends.

"
42.(d),"(d) Should the above warnings prove ineffective the Umpire at
the Bowler’s end shall:-

"
42.(i),"(i) At the first repetition call and signal “no ball” and
when the ball is dead direct the Captain to take the Bowler
off forthwith and to complete the over with another Bowler,
provided that the Bowler does not bowl two overs or part
thereof consecutively. See Law 22.7. (Bowler Incapacitated
or Suspended during an Over).

"
42.(ii),"(ii) Not allow the Bowler, thus taken off, to bowl again in
the same innings.

"
42.(iii),"(iii) Report the occurrence to the Captain of the batting side
as soon as the Players leave the field for an interval.

"
42.(iv),"(iv) Report the occurrence to the Executive of the fielding
side and to any governing body responsible for the match
who shall take any further action which is considered to be
appropriate against the Bowler concerned.

"
42.9. ,"9. The Bowling of Fast High Full Pitches
The bowling of fast high full pitches is unfair. See Note (e).
In the event of such unfair bowling the Umpire at the bowler’s end
shall adopt the procedures of caution, final warning, action against
the Bowler and reporting as set out in 8. above.

46
"
42.10. ,"10. Time Wasting
Any form of time wasting is unfair.

"
42.(a),"(a) In the event of the Captain of the fielding side wasting time
or allowing any member of his side to waste time, the Umpire
at the Bowler’s end shall adopt the following procedure:-

"
42.(i),"(i) In the first instance he shall caution the Captain of the
fielding side and inform the other Umpire of what has
occurred.

"
42.(ii),"(ii) If this caution is ineffective he shall repeal the above
procedure and indicate to the Captain that this is a final
warning.

"
42.(iii),"(iii) The Umpire shall report the occurrence to the Captain
of the batting side as soon as the Players leave the field for
an interval.

"
42.(iv),"(iv) Should the above procedure prove ineffective the
Umpire shall report the occurrence to the Executive of the
fielding side and to any governing body responsible for that
match who shall take appropriate action against the Captain
and the Players concerned.

"
42.(b),"(b) In the event of a Bowler taking unnecessarily long to bowl
an over the Umpire at the Bowler’s end shall adopt the
procedures, other than the calling of “no-ball”, of caution,
final warning, action against the Bowler and reporting.

"
42.(c),"(c) In the event of a Batsman wasting time (See Note (f)) other
than in the manner described in Law 31. (Timed Out), the
Umpire at the Bowler’s end shall adopt the following
procedure:-

"
42.(i),"(i) In the first instance he shall caution the Batsman and
inform the other Umpire at once, and the Captain of the
batting side, as soon as the Players leave the field for an
interval, of what has occurred.

"
42.(ii),"(ii) If this proves ineffective, he shall repeat the caution,
indicate to the Batsman that this is a final warning and
inform the other Umpire.

"
42.(iii),"(iii) The Umpire shall report the occurrence to both
Captains as soon as the Players leave the field for an
interval.

"
42.(iv),"(iv) Should the above procedure prove ineffective, the
Umpire shall report the occurrence to the Executive of the

batting side and to any governing body responsible for that
match who shall take appropriate action against the Player
concerned.

"
42.11. ,"11. Players Damaging the Pitch
The Umpires shall intervene and prevent Players from
causing damage to the pitch which may assist the Bowlers of either
side. See Note (c).

"
42.(a),"(a) In the event of any member of the fielding side damaging
the pitch the Umpire shall follow the procedure of caution,
final warning and reporting as set out in 10(a) above.

"
42.(b),"(b) In the event of a Bowler contravening this Law by running
down the pitch after delivering the ball, the Umpire at the
Bowler’s end shall first caution the Bowler. If this caution is
ineffective the Umpire shall adopt the procedures, other than
the calling of “no-ball”, of final warning, action against the
Bowler and reporting.

"
42.(c),"(c) In the event of a Batsman damaging the pitch the Umpire at
the Bowler’s end shall follow the procedures of caution, final
warning and reporting as set out in 10(c) above.

"
42.12. ,"12. Batsman Unfairly Stealing a Run
Any attempt by the Batsman to steal a run during the Bowler’s
run-up is unfair. Unless the Bowler attempts to run out either
Batsman — see Law 24.4. (Bowler Throwing at Striker’s Wicket
Before Delivery) and Law 24.5. (Bowler Attempting to Run Out
Non-Striker Before Delivery) — the Umpire shall call and signal
“dead ball” as soon as the Batsmen cross in any such attempt to
run. The Batsmen shall then return to their original wickets.

"
42.13. ,"13. Players’ Conduct
In the event of a player failing to comply with the instructions
of an Umpire, criticising his decisions by word or action, or
showing dissent, or generally behaving in a manner which might
bring the game into disrepute, the Umpire concerned shall, in the
first place report the matter to the other Umpire and to the
Player’s Captain requesting the latter to take action. If this proves
ineffective, the Umpire shall report the incident as soon as possible
to the Executive of the Player’s team and to any Governing Body
responsible for the match, who shall take any further action which
is considered appropriate against the Player or Players concerned.

48
NOTES
"
42.(a),"(a) The Condition of the Ball
Umpires shall make frequent and irregular inspections of the
condition of the ball.

"
42.(b),"(b) Drying of a Wet Ball
A wet ball may be dried on a towel or with sawdust.

"
42.(c),"(c) Danger Area
The danger area on the pitch, which must be protected from
damage by a Bowler, shall be regarded by the Umpires as the area
contained by an imaginary line 4 ft./1.22 m. from the popping
crease, and parallel to it, and within two imaginary and parallel
lines drawn down the pitch from points on that line 1 ft./30.48 cm.
on either side of the middle stump.

"
42.(d),"(d) Fast Short Pitched Balls
As a guide, a fast short pitched ball is one which pitches short
and passes, or would have passed, above the shoulder height of the
Striker standing in a normal batting stance at the crease.

"
42.(e),"(e) The Bowling of Fast Full Pitches
The bowling of one fast, high full pitch shall be considered to be
unfair if, in the opinion of the Umpire, it is deliberate, bowled at
the Striker, and if it passes or would have passed above the
shoulder height of the Striker when standing in a normal batting
stance at the crease.

"
42.(f),"(f) Time Wasting by Batsmen
Other than in exceptional circumstances, the Batsman should
always be ready to take strike when the Bowler is ready to start his
run-up.
"
