rule,text
38.—,"38.—In all cases where a substitute shall be allowed, the consent of
the
opposite side shall be obtained as to the person to act as substitute,
and the
place in the field which he shall take.
"
39.—,"39.—In case any substitute shall be allowed to run between wickets, the
Striker may be run out if either he or his substitute be out of his
ground.
If the Striker be out of his ground while the ball is in play, that
wicket
which he has left may be put down and the Striker given out, although
the
other batsman may have made good the ground at that end, and the
Striker
and his substitute at the other end.
Note on Law 39.
The distinction between the words “Striker” and “Batsman” should be
appreciated. When the injured Batsman is not the Striker he is subject
to
no penalty under this Law.
"
40.—,"40.—A Batsman is liable to be out for any infringement of the Laws by
his substitute.
"
41.—,"41.—The Fieldsman may stop the ball with any part of his person, but
if he wilfully stop it otherwise, the ball shall be “Dead,” and five
runs added
to the score; whatever runs may have been made, five only shall be
added.
Note on Law 41.
The “five runs” are to be added to the runs already made when the
Fieldsman “wilfully” stopped the ball.
"
42.—,"42.—The Wicket-keeper shall stand behind the wicket. If he shall
take the ball for the purpose of stumping, before it has passed the
wicket,
or, if he shall incommode the Striker by any noise, or motion, or if
any
part of his person be over or before the wicket, the Striker shall not
be out,
excepting under Laws 26, 27, 28, 29, and 30.
Note on Law 42.
A Wicket-keeper may run a Batsman out by going in front of the
Wicket (Law 28) the Umpire must decide from the facts, if the act is
legal.
"
43.—,"43.—The Umpires are the sole judges of fair or unfair play, of the
fitness
of the ground, the weather, and the light for play; all disputes, shall
be
determined by them, and if they disagree the actual state of things
shall
continue.
(See also Instructions to Umpires.)
"
44.—,"44.—They shall pitch fair wickets, arrange boundaries where necessary,
and the allowances to be made for them, and change ends after each side
has had one innings.
"
45.—,"45.—They shall allow two minutes for each Striker to come in, and ten
minutes between each innings. When they shall call “Play” the side
refusing to play shall lose the match.
Notes on Law 45.
The In going Batsman should meet the out-coming batsman before he
enters the Pavilion.
It is the duty of the Captains to see that this Law is strictly
observed.
"
46.—,"46.—They shall not order a batsman out unless appealed to by the
other side.
N.B.—An appeal, “How’s that?” covers all ways of being out (within
the jurisdiction of the Umpire appealed to), unless a specific way of
getting
out is stated by the person .asking.
"
47.—,"47.—The Umpire at the bowler’s wicket shall be appealed to before the
other Umpire in all cases, except in those of stumping, hit wicket, run
out
at the Striker’s wicket, or arising out of Law 42, but in any case in
which
an Umpire is unable to give a decision, he shall appeal to the other
Umpire
whose decision shall be final.
Note on Law 47.
When the Umpire at the bowler’s wicket has given a Batsman “not
out” the other Umpire may answer any appeal within his jurisdiction,
subject to an observance of Law 50.
"
48.—,"48.—If either Umpire be not satisfied of the absolute fairness of the
delivery of any ball, he shall call “No Ball.”
"
48a.—,"48a.—The Umpires shall take especial care to call “No Ball” instantly
upon delivery; “Wide Ball” as soon as it shall have passed the
striker.
Note on Law 48 and 48a.
If an Umpire has called “No Ball” when the ball has not been delivered
he should revoke his decision.
"
49.—,"49.—If either batsman run a short run, the Umpire shall call “One
short” and the run shall not be scored.
(See Notes under “The Batsman,” page 16.)
"
50.—,"50.—After the Umpire has called “Over” the ball is “Dead,” but an
appeal may be made as to whether either batsman is out, such appeal
however shall not be made after the delivery of the next ball, nor
after any
cessation of play.
Note on Law 50.
No act on the part of the fielding side can cause a batsman to be out
after the Umpire has called “Over,” but an appeal may be made within
the
allotted time.
15
"
51.—,"51.—No Umpire shall be allowed to bet.
"
52.—,"52.—No Umpire shall be changed during a match, unless with the
consent of both sides, except in case of violation of Law 51; then
either side
may dismiss him.
"
53.—,"53.—The side which bats first and leads by 150 runs in a three days’
match, or by 100 runs in a two days’ match, shall have the option of
requiring the other side to follow their innings.
"
54.—,"54.—The In-side may declare their innings at an end in a three days’
match, at or after the luncheon interval on the second day; in a two
days’
match the Captain of the batting side has power to declare his innings
at a
close at any time; but such declaration may not be made on the first
day
later than 1 hour and 40 minutes before the hour agreed on for drawing
stumps; in a one day match at any time.
Notes on Law 54.
(See also Instructions to Umpires as to “declaring.”
A declaration of a first innings does not preclude a second innings.
For the purpose of stating the result of a match, an innings declared
at
an end is regarded as completed and the victory, if accomplished, is in
runs
and not by wickets.
"
ONE DAY MATCHES,"ONE DAY MATCHES.
1.—The side which bats first and leads by 75 runs shall have the option
of requiring the other side to follow their innings.
2.—The Match, unless played out, shall be decided by the First Innings.
Prior to the commencement of a match it may be agreed:—that the Over
consist of 5 or 6 balls.
N.B.—A tie is included in the words “played out.”
"
SINGLE WICKET,"SINGLE WICKET.
The Laws are, where they apply, the same as the above, with the
following alterations and additions.
1.—One Wicket shall be pitched, as in Law 6, with a Bowling Stump
opposite to it, at a distance of twenty-two yards. The Bowling crease
shall
be in a line with the bowling stump; and drawn according to Law 7.
2.—When there shall be less than five players on a side, Bounds shall
be
placed twenty-two yards each in a line from the oft and leg stump.
3.—The ball must be hit before the Bounds to entitle the Striker to a
run, which run cannot be obtained unless he touch the bowling stump or
crease in a line with his bat, or some part of his person, or go beyond
them,
and return to the popping crease.
4.—When the Striker shall hit the ball, one of his feet must be on the
ground behind the popping crease, otherwise the Umpire shall call “No
Hit,”
and no run shall be scored.
5.—When there shall be less than five players on a side, neither Byes,
Leg byes, nor Overthrows shall be allowed, nor shall the Striker be
caught
out behind the wicket, nor stumped.
6.—The fieldsman must return the ball so that it shall cross the ground
between the wicket and the bowling stump, or between the bowling stump
and the bounds; the Striker may run till the ball be so returned.
7.—After the Striker shall have made one run, if he start again he must
touch the bowling stump or crease, and turn before the ball cross the
ground to entitle him to another.
8.—The Striker shall be entitled to three runs for lost ball, and the
same number for ball wilfully stopped by a fieldsman otherwise than
with
any part of his person.
9.—When there shall be more than four players on a side, there shall
be no bounds. All Hits, Byes, Leg Byes, and Overthrows shall then be
allowed.
10.—There shall be no restriction as to the ball being bowled in Overs,
but no more than one minute shall be allowed between each ball.
THE BATSMAN.
When a batsman has retired owing to illness, injury, or some other
unavoidable cause his innings must be counted as “Not out.”
A Side which has fielded with ten men, or less, may bat with its full
strength provided no disqualification rule applies.
When a short run is called it is not customary for the batsmen to cross
over to the positions they would have been in if the run had not been
attempted.
17
THE BOWLER.
There is no objection to the bowlers’ footholes being filled up with
sawdust, though the game be not actually in progress.
(See Instructions to Umpires.)
It some times happens that the bowler will lift the seam of the ball in
order to obtain a better hold. This is not legitimate. The ball, in
such a
case, should be shown to the Umpire who should call for a new ball and
warn the Captain that the practice is unfair.
A bowler can bowl round and over the wicket in the same over; but he
should give the batsman an opportunity of taking a fresh guard. The
same
remarks apply to a change from over to under arm bowling, or vice versa.
THE BOUNDARY.
(See Notes to Law 2.)
If a ball hit or pass over or through the boundary or is carried over
it
by the fieldsman the Umpire should call a boundary hit, but a fieldsman
may lean against the boundary to catch or field a ball, and if a
fieldsman
when standing within the playing ground, even though he be touching the
boundary, catch a ball outside the boundary the batsman should be given
out.
When the ball touches the boundary it becomes “Dead.”
The Umpire is not a boundary.
It is for the Umpire to decide if a hit has reached the boundary.
If a seat or other obstacle is placed in the playing ground, within
boundaries, and such obstacle is struck by the ball it cannot be
regarded
as a boundary unless so arranged by the Umpires.
18
UMPIRES.
(See also instructions to Umpires.)
An Umpire should stand where he can clearly see the act upon which
his decision may be required.
Umpires should not call “Time” before the Over is finished unless
a wicket fall within two minutes of “Time.” (See Law 45.)
It is not the scorers business to dictate to the Umpire. The Umpire
should direct the scorer what to record.
An Umpire may alter his decision if in the hurry of the moment or by
a slip of the tongue he has given a wrong one. Provided that such
alteration
is made before the next ball is bowled, or, if cessation of play
immediately
follows the decision, before the fieldsmen leave the field.
It is not part of an Umpire’s duty to call back a batsman who is
leaving
the wicket under a misapprehension: But the Umpire should try and
prevent such misapprehension by “calling” distinctly and by giving the
proper signal.
The Umpires should agree between themselves, before play, what watch
or clock they shall follow in deciding intervals and close of play.

"
INSTRUCTIONS TO UMPIRES,"INSTRUCTIONS TO UMPIRES.
FITNESS OF GROUND.
Law 43.—At the commencement of a Match, the Umpires may be
appealed to by either side as to the fitness of the Ground for play.
Should they not agree, play will not commence until they are agreed.
In case of interruption from rain, as soon as the rain has ceased, the
Umpires shall, immediately, without further instruction, inspect the
wicket,
unaccompanied by any of the players, and decide upon its fitness.
Should
it prove unfit, they shall continue to inspect at intervals, until they
decide
that it is fit for play, when they shall call upon the players to
resume
the game.
The ground is unfit for play—when water stands on the surface, or
when it is so wet, muddy, or slippery as to deprive the bowlers of a
reasonable foothold, or the fieldsmen of the power of free movement.
19
The Umpires are not to be biassed by the opinions of either side, still
less are they to allow themselves to be influenced by the impatience of
the
spectators for a resumption of the game, and are not to be induced, by
the
public interest in a particular match, to declare the ground fit for
play,
unless they would consider that Ground fit under any circumstances.
FITNESS OF LIGHT FOR PLAY.
The Umpires may decide, on appeal from either of the batsmen or from
any member of the fielding side, that there is not sufficient light for
Play.
Should the light improve before the time for drawing stumps, they
shall,
without waiting for instructions, call upon the players to resume the
game.
In the event of the Captains agreeing as to the condition of the ground
or light, the Umpires will, so far, be relieved of their
responsibility.
Law 47.—An Umpire is only justified in appealing to the other Umpire,
when he is unable to decide, owing to his having been prevented from
seeing
the occurrence on which the appeal is based. He is not to appeal to the
other Umpire in cases on which he could give a decision, merely
because he
is unwilling to give that decision. If he be in any doubt, the
principle laid
down in Law 43, “That the existing state of things shall continue,”
shall be
followed, and in consequence, the decision should be in favour of the
batsman.
Law 48.—The special attention of Umpires is called to this Law, which
directs them to call “No Ball,” unless absolutely satisfied of the
fairness of
the delivery.
Umpires should not allow themselves to be unduly influenced by appeals
from such of the field who were not in a position to form a judgment on
the point appealed upon, or by tricks—such as throwing up the ball, on
appealing for a catch at the wicket, without waiting for the decision.
Umpires being the sole judges of fair or unfair play, should remember
that
such devices are obviously unfair, and are not in accordance with the
spirit
in which cricket should be played.
Umpires are not justified in deciding the ground unfit for play merely
because the grass is wet and the ball would, in consequence, be
slippery.
In order to facilitate play at the earliest possible moment in wet
weather
the Umpires shall see
that the foot holes made by the bowlers and
batsmen
are cleaned out, dried, and filled up with sawdust at any time during the
match, although the game is not actually in progress.
Umpires should see that there is no infringement of Law 5. When in
doubt as to the width of a bat they should use the gauge.

DECLARING
(See Law 54.)
(a) If a side declare its innings during the luncheon interval, it must
do so within fifteen minutes after the commencement of such interval,
otherwise an extra ten minutes will be allowed for rolling.
(b) If a side declare its innings closed in the morning before play
commences, it must do so in sufficient time to enable the other side to
choose
the roller it prefers, otherwise an extra ten minutes will be allowed
for rolling.

20
CODE OF SIGNALLING.
Boundaries shall be signalled by waving the hand from side to side.
Byes shall be signalled by raising the open hand above the head.
Leg-byes shall be signalled by raising the leg and touching it with the
hand.
Wides shall be signalled by extending both arms horizontally.
No-balls shall be signalled by extending one arm horizontally.
The decision “Out” shall be signalled by raising the index finger above
the head.
Umpires should wait until a signal has been answered by the scorer
before allowing the game to proceed.
Besides signalling, the Umpire should “call” distinctly for the infor-
mation of the players.
On giving a decision the Umpire should make sure that the batsman
understands what the decision is.
"
